id,x,y
9,29.846441,-30.703596
1001,-4.496082,-55.687256
1646,-39.155563,28.307537
1978,0.30786628,-41.140755
1785,25.477907,-21.64336
198,-1.6634865,-58.920055
366,9.866286,-24.310858
1293,40.10705,25.19769
853,58.612766,53.16267
1171,7.8197103,-52.318676
840,-47.21343,37.135838
523,31.250776,11.321718
337,-43.011005,-61.200504
970,43.998745,34.796497
1739,-32.139797,-79.053406
745,-10.65092,-5.702817
1315,20.02044,-20.521545
535,22.764503,-23.276297
389,45.568043,67.9096
737,-21.377138,-59.83774
277,22.55467,18.689955
1013,29.98233,-28.82969
1087,29.757214,-19.721495
1158,43.0447,51.020195
490,-27.355194,3.5817525
270,48.488827,65.54377
1371,74.96995,-9.779865
1574,57.965412,-22.277628
1440,17.254232,-29.7743
1326,43.164864,43.413887
1265,-32.37407,-74.50349
401,-35.560265,31.15072
330,-37.953964,24.97204
236,36.727455,21.786827
1603,-20.595919,1.7622173
304,-46.36549,34.875618
810,-35.610508,-74.46323
303,38.176975,29.968485
998,58.94017,62.331608
1886,-5.2744417,5.2750354
1512,-33.686073,-64.73422
64,-39.249233,30.935251
1668,-12.121423,-3.1661668
851,-37.445255,-68.86686
1125,45.055733,49.54887
622,-58.71935,-24.610802
1834,39.079746,16.311188
1573,-48.876003,-24.4502
476,-55.595573,31.843117
1775,68.5662,-17.601107
1023,27.891668,31.142382
427,42.361942,16.685896
317,-9.845086,56.48273
1502,23.622698,12.816172
1487,42.502926,48.644554
648,-55.06666,-26.36084
1529,25.565762,19.587969
201,-65.66008,-22.42503
1236,-51.534805,35.700634
569,30.27755,-13.626245
1308,-40.712574,-73.06694
24,-53.04611,-28.243662
790,56.9475,-5.399055
715,-2.6849468,54.82784
1252,-49.719822,35.949917
987,45.72702,44.324474
46,53.23115,-17.699854
397,-36.44971,35.74317
1822,-44.516907,40.83813
1466,-65.58056,-27.23712
1434,-50.086357,37.20272
1853,-51.1271,29.857414
1008,61.00087,-0.73898476
414,24.906687,-29.176758
852,18.966349,-27.885492
930,68.73121,-2.044776
1149,60.381645,-12.6071005
133,65.06458,-13.945687
1335,65.90371,-5.6911936
1980,16.811102,-17.6816
1168,-56.961716,-29.953655
1437,48.965168,55.364616
344,-1.5335985,-61.666058
1401,34.251812,-17.843063
1200,-26.589579,-8.230159
207,-20.794111,-1.5353562
942,-2.430548,47.530544
1496,70.22882,-19.898928
1933,22.876646,-17.53968
418,58.681477,-15.43326
981,-36.030388,-69.51207
1028,39.805332,68.55313
1525,-8.648933,47.59533
1052,56.04557,-3.3105795
1494,57.47352,-11.007988
338,-27.20798,-70.84808
1962,-26.710232,8.289435
583,12.967247,-18.23036
707,-26.084045,-0.57598513
42,-32.324894,-67.40169
140,-36.881855,-79.203255
1568,-28.011524,0.18052886
60,-13.29679,10.996961
417,-55.702023,-30.923573
1079,27.728525,-32.26127
679,-13.362755,52.41557
395,62.366264,-12.785475
258,33.438915,-19.335592
579,54.719414,63.02151
1982,-18.578213,11.644694
1556,-8.508805,9.503536
721,66.51647,-16.540375
1181,-23.082066,5.8902454
815,-3.2148101,-49.167225
985,-10.776308,8.323305
1053,35.091793,-20.825167
1800,-26.919382,-64.17493
1108,-30.091225,-57.06135
285,-50.59308,-17.13519
1759,-16.572481,8.520942
966,24.948845,-7.567001
726,-7.8928313,-54.338528
281,-30.964653,-69.40472
378,-20.681288,3.276143
1790,63.913765,-12.879424
497,23.510227,-20.967203
82,48.07492,61.214054
1780,11.632523,-49.085728
1582,-1.2277087,-58.98107
885,-15.182972,0.26665947
570,-7.3894815,-42.877773
1183,55.32415,54.538128
770,-16.005974,11.572536
626,-2.320965,-51.06099
103,-9.534329,-2.6738248
1291,-10.111079,6.2709723
1325,-17.031225,-8.759518
658,-24.377039,-4.192151
146,-21.210457,-5.598825
1952,-7.7157655,51.207115
783,56.04517,55.872303
1241,-6.538185,0.26781288
662,11.946825,-52.687325
1314,-25.838821,-5.895966
1152,-7.5004644,12.480514
1124,-33.430744,-56.7728
553,27.910286,-26.091925
104,0.9700203,-49.047234
1917,5.7206407,-56.32502
1699,30.68635,-21.693176
134,69.08455,-11.405096
12,-9.522281,-54.646496
954,-39.331577,-71.62327
1564,-13.382572,5.9887815
1802,-8.113734,-51.83912
85,54.682693,58.35485
1679,52.859497,53.410423
501,29.954575,29.064157
1810,-37.987926,23.657705
1457,52.605625,64.03818
1708,-12.120408,5.7064905
738,40.32466,49.868607
148,-4.5830064,-43.218845
1773,27.331875,24.032095
1347,-41.559116,35.24629
1905,-2.9307306,-54.240437
478,0.35541034,-62.815727
808,26.663795,-23.224285
1658,-59.309628,-18.741844
1259,37.743587,58.96556
1022,-44.396572,31.689142
1562,22.194115,-30.70373
212,31.778082,16.025358
1176,53.91588,52.38663
164,-31.175629,-62.289196
1878,-50.756523,22.912184
1024,33.05227,14.744428
539,-6.2151413,-2.3305473
938,-41.674446,27.0727
1628,18.6105,22.11472
509,-59.170372,-14.539208
1999,66.20196,1.1404674
1939,37.32962,25.71307
